;;;;;;;;;;;;;;;;;;
;[Microeletrônica Geral] Matriz Instrucional;;   CH Total Síncrona (h):;9:00;Atenção: Não é necessário preencher manualmente a tabela ao lado. Todos os valores serão calculados e atualizados automaticamente por meio das fórmulas já configuradas.;;;;;;;;;;;;;
;;;   CH Total Assíncrona (h):;9:20;;;;;;;;;;;;;;
;Data de Criação: 09/07/2025;;   CH Atividades (h):;0:00;;;;;;;;;;;;;;
;Carga Horária do Curso: 320h;;   Carga Horária Total (h):;18:20;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Nº Capítulo;Nome Capítulo;Conteúdo (resumo);Nº Objetivo Educacional;Objetivo Educacional;Nível (TRB);Papéis e atores;Objetos de Aprendizagem;Nº Objetos de Aprendizagem;CH Síncrona (min);CH Assíncrona  (min);Período (dias);Ferramentas;Atividade Formativa;Atividade Somativa;CH Atividades (min);Atividade Pontuação;Feedback
;1;Projeto Hierárquico de Sistemas Digitais e Introdução à Linguagem HDL (SystemVerilog);Apresentar a importância do projeto hierárquico para gerenciar a complexidade de sistemas digitais. Introduzir a linguagem HDL, SystemVerilog, explicando a modelagem comportamental (o que o circuito faz) e a modelagem estrutural (como ele é conectado).;1;Apresentar os conceitos de projeto hierárquico e a sintaxe básica da linguagem SystemVerilog, focando nas diferenças entre a modelagem comportamental e estrutural. O objetivo é introduzir os alunos aos princípios fundamentais que guiarão o desenvolvimento de circuitos digitais.;Compreender (Entendimento) - Descrever, Explicar, Identificar.;"Estudantes: Participação ativa em discussões e atividades práticas.

Mentores: Facilitação das discussões e orientação nas atividades práticas.";Vídeo aula (roteiro;2;0;120;2;AVA;Quiz;Não prevista;;0 - 10;Ao final do capítulo, feedback via ferramenta de tarefas.
;1;Projeto Hierárquico de Sistemas Digitais e Introdução à Linguagem HDL (SystemVerilog);Idem.;1;Apresentar os conceitos de projeto hierárquico e a sintaxe básica da linguagem SystemVerilog, focando nas diferenças entre a modelagem comportamental e estrutural. O objetivo é introduzir os alunos aos princípios fundamentais que guiarão o desenvolvimento de circuitos digitais.;Idem.;Idem.;Slide;2;0;0;0;AVA;Não prevista;Não prevista;;Idem.;Idem.
;1;Projeto Hierárquico de Sistemas Digitais e Introdução à Linguagem HDL (SystemVerilog);Idem.;2;Aprofundar os tópicos com exemplos de código mais complexos, tabelas de sintaxe e diagramas. O objetivo é servir como um material de referência detalhado, permitindo que os alunos revisem conceitos de modelagem e projeto hierárquico de forma autônoma.;Idem.;Idem.;Ebook;1;0;0;1;AVA;Não prevista;Não prevista;;Idem.;Idem.
;1;Projeto Hierárquico de Sistemas Digitais e Introdução à Linguagem HDL (SystemVerilog);Idem.;3;Fornecer um guia para que o monitor auxilie os alunos a escrever e depurar scripts simples em SystemVerilog. O objetivo é que o monitor possa tirar dúvidas sobre a estrutura do código e a aplicação prática do conceito de hierarquia em um projeto.;Idem.;Idem.;Plano de Aula;1;180;0;1;Plataforma de videoconferência;Não prevista;Não prevista;;Idem.;Idem.
;1;Projeto Hierárquico de Sistemas Digitais e Introdução à Linguagem HDL (SystemVerilog);Idem.;4;Demonstrar como configurar um projeto, escrever um testbench inicial e rodar a primeira simulação de um módulo simples em SystemVerilog. O objetivo é que os alunos se familiarizem com o ambiente de simulação para verificar o funcionamento de seus primeiros projetos.;Idem.;Idem.;Vídeo aula (roteiro;1;0;60;1;AVA;Atividade Aberta;Não prevista;;Idem.;Idem.
;;;;;;;;;;;;;;;;;;
;2;FSM (Máquinas de Estado Finito): Mealy e Moore;Estudar as Máquinas de Estado Finito (FSMs), comparando os modelos Mealy e Moore, e como implementá-los usando HDL. Mealy depende da entrada e do estado atual, e Moore depende apenas do estado atual.;1;Explicar a teoria por trás das FSMs, ilustrando as diferenças e similaridades entre os modelos Mealy e Moore. O objetivo é que os alunos compreendam quando e como usar cada tipo de máquina de estado.;Compreender (Entendimento) - Descrever, Explicar, Identificar.;"Estudantes: Participação ativa em discussões e atividades práticas.

Mentores: Facilitação das discussões e orientação nas atividades práticas.";Vídeo aula (roteiro;2;0;120;2;AVA;Quiz;Não prevista;;0 - 10;Ao final do capítulo, feedback via ferramenta de tarefas.
;2;FSM (Máquinas de Estado Finito): Mealy e Moore;Idem.;1;Explicar a teoria por trás das FSMs, ilustrando as diferenças e similaridades entre os modelos Mealy e Moore. O objetivo é que os alunos compreendam quando e como usar cada tipo de máquina de estado.;Idem.;Idem.;Slide;2;0;0;0;AVA;Não prevista;Não prevista;;Idem.;Idem.
